Distance	Type	Venue	City	State
336.0	NE-VENUE	Sloppy Duck Saloon	Erie	PA
336.0	NE-VENUE	Voodoo Brewery Erie	Erie	PA
336.6	NE-FEST	Titusville Folk and Bluegrass Festival	Titusville	PA
336.6	NE-VENUE	Cross Creek Resort	Titusville	PA
336.6	NE-VENUE	Titusville Iron Works	Titusville	PA
338.2	NE-FEST	Roosterpalooza Music Festival	Spring Grove	PA
341.4	NE-FEST	Altoona in Bloom	Altoona	PA
342.4	NE-FEST	Clarion Autumn Leaf Festival	Clarion	PA
343.4	NE-VENUE	Tennessee Avenue Beer Hall	Atlantic City	NJ
343.7	NE-FEST	Millville Electric Halloween Festival	Millville	NJ
345.2	NE-FEST	Ventnor City Spring Block Party	Ventnor City	NJ
346.1	NE-FEST	Margate Fall Funfest	Margate	NJ
346.2	NE-VENUE	Riverside Brewing Company	Cambridge Springs	PA
346.9	NE-VENUE	Edinboro Lake Resort	Edinboro	PA
347.1	NE-FEST	Somers Point Bayfest	Somers Point	NJ
350.8	NE-FEST	Chaffee Music Festival	Girard	PA
358.8	NE-FEST	Sea Isle City Harbor fest	Sea Isle City	NJ
363.4	NE-RADIO	WTMD	Towson	MD
365.0	NE-FEST	Pioneer Frolic	Sandy Lake	PA
366.1	NE-FEST	Fort Armstrong Folk Festival	Kittanning	PA
370.5	NE-FEST	Wildwoods Food and Music Festival	Wildwood	NJ
370.5	NE-FEST	Wildwood Oktoberfest	Wildwood	NJ
370.5	NE-FEST	Parrot head Festival	Wildwood	NJ
372.5	NE-FEST	Bedford Foliage Festival	Bedford	PA
376.6	NE-FEST	Mercer Summer Celebration	Mercer	PA
379.1	NE-FEST	Apollo Labor United Celebration	Apollo	PA
385.3	NE-FEST	Saint Vincent Parish Festival	Latrobe	PA
389.3	NE-RADIO	WRNR	Annapolis	MD
389.3	NE-FEST	Evans City Oktoberfest	Evans City	PA
392.0	NE-VENUE	Green Beacon Gallery	Greensburg	PA
392.0	NE-VENUE	PBR Pittsburgh	Greensburg	PA
399.7	NE-HOUSE	Hamlin Street Diner	Brentwood	MD
399.9	NE-FEST	Mount Pleasant Mammoth Fest	Mount Pleasant	PA
402.0	NE-FEST	Hamilton Harvest Festival	Pittsburgh	PA
402.0	NE-FEST	Pittsburgh Oktoberfest	Pittsburgh	PA
402.0	NE-VENUE	Club Cafe	Pittsburgh	PA
402.0	NE-RADIO	WPPJ	Pittsburgh	PA
404.0	NE-FEST	Scottdale Fall Festival	Scottdale	PA
406.5	NE-RADIO	WERA	Arlington	VA
408.7	NE-FEST	Springs Folk Festival	Springs	PA
412.7	NE-FEST	Summer on the Avenue	Belle Vernon	PA
529.2	NE-RADIO	WHRV	Norfolk	VA
